Label,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
c0011,3.51E+01,2.22E+01,2.62E+01,1.69E+01,3.82E+01,3.01E+01,2.28E+01,2.25E+01,1.94E+01,1.66E+01,2.49E+01,1.88E+01,1.87E+01,1.92E+01,1.86E+01,2.40E+01,2.20E+01,2.15E+01,2.12E+01,2.00E+01,1.77E+02,1.09E+02,1.08E+02,1.17E+02,1.12E+02,1.81E+02,1.02E+02,1.04E+02,1.06E+02,9.33E+01,1.31E+00,8.65E-01,7.60E-01,7.24E-01,7.27E-01,9.13E-01,6.56E-01,6.55E-01,6.88E-01,7.91E-01,5.46E+00,5.02E+00,4.70E+00,4.19E+00,4.42E+00,4.02E+00,4.53E+00,4.29E+00,4.29E+00,4.93E+00
c0012,3.11E+01,1.63E+01,2.38E+01,1.94E+01,1.89E+01,2.07E+01,1.51E+01,1.70E+01,1.61E+01,1.53E+01,1.60E+01,1.13E+01,1.23E+01,1.34E+01,1.15E+01,1.77E+01,1.74E+01,1.68E+01,1.51E+01,1.60E+01,7.07E+01,5.97E+01,5.56E+01,5.95E+01,5.35E+01,5.83E+01,6.04E+01,5.26E+01,5.09E+01,4.86E+01,2.95E+00,2.66E+00,2.80E+00,2.54E+00,2.94E+00,2.15E+00,1.71E+00,1.75E+00,1.98E+00,1.94E+00,1.88E+01,1.53E+01,1.75E+01,1.69E+01,2.06E+01,1.74E+01,1.28E+01,1.42E+01,1.47E+01,1.52E+01
c0013,4.16E+01,2.11E+01,2.54E+01,2.28E+01,4.03E+01,2.64E+01,2.21E+01,1.72E+01,1.82E+01,2.10E+01,1.67E+01,8.06E+00,7.93E+00,1.13E+01,1.16E+01,1.78E+01,1.73E+01,1.63E+01,1.50E+01,1.51E+01,9.39E+01,5.20E+01,5.26E+01,7.26E+01,8.62E+01,9.79E+01,7.29E+01,7.10E+01,6.67E+01,7.00E+01,2.85E+00,3.31E+00,3.24E+00,2.61E+00,2.38E+00,2.29E+00,1.72E+00,1.92E+00,2.03E+00,2.05E+00,1.51E+01,1.79E+01,1.75E+01,1.37E+01,1.13E+01,1.15E+01,1.03E+01,1.13E+01,1.20E+01,1.18E+01
c0014,1.71E+01,1.60E+01,1.74E+01,1.87E+01,1.87E+01,1.83E+01,1.95E+01,1.91E+01,2.13E+01,1.87E+01,1.45E+01,6.49E+00,7.64E+00,1.00E+01,8.07E+00,1.24E+01,9.61E+00,1.05E+01,8.36E+00,9.02E+00,7.99E+01,3.04E+01,3.82E+01,4.58E+01,3.76E+01,7.92E+01,4.82E+01,4.72E+01,4.15E+01,5.40E+01,3.19E+00,4.17E+00,3.70E+00,3.44E+00,3.71E+00,3.40E+00,3.33E+00,3.17E+00,4.07E+00,3.91E+00,1.97E+01,3.19E+01,2.55E+01,2.44E+01,2.61E+01,1.98E+01,2.24E+01,2.20E+01,3.00E+01,2.78E+01
c0015,7.02E+01,6.93E+01,4.70E+01,5.27E+01,5.05E+01,2.17E+01,1.92E+01,2.10E+01,1.95E+01,2.19E+01,2.54E+01,1.75E+01,1.56E+01,1.57E+01,1.74E+01,2.10E+01,2.19E+01,2.21E+01,2.21E+01,2.16E+01,1.99E+02,1.75E+02,1.42E+02,1.36E+02,1.33E+02,1.30E+02,1.16E+02,1.21E+02,1.18E+02,1.28E+02,1.00E+00,1.23E+00,1.37E+00,1.45E+00,1.33E+00,1.10E+00,8.81E-01,8.73E-01,8.55E-01,1.03E+00,3.93E+00,4.16E+00,5.00E+00,5.44E+00,6.02E+00,5.01E+00,5.13E+00,5.25E+00,5.25E+00,5.06E+00
c0016,3.85E+01,1.71E+01,2.29E+01,2.08E+01,3.09E+01,2.99E+01,2.00E+01,2.01E+01,2.11E+01,2.37E+01,2.35E+01,1.86E+01,2.08E+01,1.89E+01,1.85E+01,2.05E+01,2.40E+01,2.16E+01,2.16E+01,2.08E+01,1.37E+02,9.15E+01,9.68E+01,8.51E+01,9.22E+01,1.17E+02,9.26E+01,8.87E+01,9.16E+01,7.76E+01,1.40E+00,8.31E-01,6.99E-01,9.19E-01,1.08E+00,1.29E+00,6.09E-01,6.96E-01,5.58E-01,7.56E-01,6.45E+00,5.24E+00,5.67E+00,6.04E+00,6.03E+00,6.30E+00,6.04E+00,5.45E+00,4.96E+00,6.10E+00
c0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c0018,3.30E+01,1.98E+01,1.96E+01,2.37E+01,1.91E+01,2.23E+01,1.73E+01,1.74E+01,1.68E+01,1.91E+01,1.67E+01,1.22E+01,1.28E+01,1.23E+01,1.15E+01,1.56E+01,1.72E+01,1.75E+01,1.87E+01,1.69E+01,7.24E+01,6.18E+01,6.38E+01,5.08E+01,4.12E+01,5.00E+01,4.33E+01,4.36E+01,4.58E+01,4.04E+01,3.56E+00,2.74E+00,2.65E+00,2.72E+00,2.80E+00,2.86E+00,1.88E+00,1.70E+00,1.27E+00,1.64E+00,2.51E+01,1.64E+01,1.59E+01,1.84E+01,2.13E+01,2.35E+01,1.83E+01,1.71E+01,1.39E+01,1.59E+01
c0019,6.57E+01,9.41E+01,8.75E+01,7.43E+01,7.42E+01,5.04E+01,4.24E+01,3.79E+01,3.88E+01,2.98E+01,2.49E+01,1.72E+01,1.84E+01,1.97E+01,1.99E+01,2.38E+01,2.03E+01,2.16E+01,2.28E+01,1.98E+01,1.37E+02,1.58E+02,1.67E+02,1.66E+02,1.54E+02,1.47E+02,1.11E+02,1.20E+02,1.22E+02,1.09E+02,7.39E-01,1.15E+00,9.77E-01,8.00E-01,7.40E-01,7.68E-01,5.55E-01,3.23E-01,3.07E-01,6.23E-01,4.53E+00,4.30E+00,3.91E+00,3.71E+00,4.08E+00,4.32E+00,4.03E+00,3.58E+00,3.69E+00,4.21E+00
c0020,2.91E+01,2.23E+01,2.71E+01,3.03E+01,3.64E+01,3.15E+01,2.13E+01,2.49E+01,2.71E+01,2.54E+01,1.95E+01,1.35E+01,1.55E+01,1.69E+01,1.41E+01,1.83E+01,2.03E+01,2.34E+01,2.32E+01,1.80E+01,1.36E+02,8.54E+01,9.15E+01,1.03E+02,8.98E+01,1.30E+02,8.89E+01,8.75E+01,9.69E+01,6.74E+01,1.86E+00,2.23E+00,1.87E+00,1.65E+00,2.14E+00,2.49E+00,1.48E+00,1.20E+00,1.11E+00,1.74E+00,7.91E+00,1.06E+01,9.17E+00,8.34E+00,9.99E+00,1.26E+01,8.22E+00,8.35E+00,7.05E+00,1.08E+01
c0021,3.90E+01,5.60E+01,4.13E+01,3.08E+01,3.28E+01,3.43E+01,2.28E+01,2.50E+01,2.13E+01,2.25E+01,3.00E+01,2.24E+01,2.07E+01,1.88E+01,1.77E+01,2.29E+01,2.19E+01,2.30E+01,2.30E+01,2.24E+01,2.12E+02,1.81E+02,1.75E+02,1.55E+02,1.45E+02,1.72E+02,1.14E+02,1.25E+02,1.16E+02,1.03E+02,4.15E-01,5.23E-01,7.06E-01,1.04E+00,1.23E+00,1.21E+00,1.04E+00,9.05E-01,9.10E-01,1.13E+00,3.01E+00,3.10E+00,3.22E+00,3.99E+00,4.90E+00,4.84E+00,5.42E+00,5.14E+00,5.45E+00,6.36E+00
c0022,2.53E+01,2.44E+01,2.40E+01,1.62E+01,1.51E+01,3.82E+01,1.86E+01,2.00E+01,2.14E+01,2.20E+01,2.30E+01,1.91E+01,2.00E+01,1.93E+01,2.07E+01,2.42E+01,2.09E+01,2.27E+01,2.33E+01,2.00E+01,1.32E+02,1.04E+02,1.12E+02,9.78E+01,1.06E+02,1.76E+02,1.01E+02,1.09E+02,1.13E+02,9.61E+01,1.38E+00,7.93E-01,8.11E-01,8.14E-01,6.60E-01,1.12E+00,8.77E-01,6.71E-01,6.37E-01,8.39E-01,7.28E+00,4.63E+00,4.81E+00,5.05E+00,4.41E+00,4.95E+00,5.06E+00,4.45E+00,4.19E+00,4.83E+00
c0023,2.45E+01,2.40E+01,2.35E+01,2.81E+01,2.16E+01,1.55E+01,2.34E+01,3.16E+01,2.42E+01,2.40E+01,1.63E+01,8.64E+00,7.74E+00,7.52E+00,7.27E+00,1.60E+01,1.14E+01,1.07E+01,9.73E+00,9.70E+00,8.96E+01,6.95E+01,5.24E+01,4.83E+01,4.23E+01,5.17E+01,7.63E+01,5.59E+01,4.53E+01,6.43E+01,2.35E+00,3.21E+00,3.76E+00,3.85E+00,4.17E+00,3.07E+00,3.24E+00,3.46E+00,3.62E+00,3.04E+00,1.12E+01,1.85E+01,2.40E+01,2.59E+01,2.94E+01,2.15E+01,2.06E+01,2.33E+01,2.53E+01,1.72E+01
c0024,2.51E+01,2.37E+01,2.13E+01,2.29E+01,2.15E+01,2.83E+01,1.85E+01,2.08E+01,2.08E+01,2.40E+01,1.94E+01,1.31E+01,1.41E+01,1.45E+01,1.25E+01,1.50E+01,1.73E+01,1.69E+01,1.78E+01,1.61E+01,1.02E+02,8.37E+01,7.84E+01,6.74E+01,5.24E+01,7.24E+01,5.93E+01,5.94E+01,6.18E+01,5.63E+01,2.63E+00,2.67E+00,2.39E+00,2.36E+00,2.59E+00,2.88E+00,1.99E+00,1.80E+00,1.71E+00,2.35E+00,1.50E+01,1.34E+01,1.24E+01,1.40E+01,1.71E+01,1.72E+01,1.48E+01,1.33E+01,1.31E+01,1.80E+01
c0025,2.45E+02,1.96E+02,1.15E+02,6.85E+01,6.09E+01,5.89E+01,4.06E+01,4.09E+01,4.14E+01,3.47E+01,2.46E+01,2.39E+01,2.10E+01,2.01E+01,2.10E+01,2.04E+01,2.06E+01,1.96E+01,1.99E+01,2.06E+01,1.31E+02,1.36E+02,9.58E+01,7.72E+01,7.62E+01,5.90E+01,5.82E+01,5.86E+01,5.89E+01,7.61E+01,8.32E-01,4.64E-01,2.21E-01,-3.43E-02,-2.69E-01,-1.90E-01,-1.25E-01,-7.81E-02,-9.62E-02,3.19E-01,4.22E+00,3.92E+00,3.85E+00,3.64E+00,3.58E+00,3.53E+00,3.38E+00,3.28E+00,3.33E+00,3.78E+00
c0026,2.75E+01,3.40E+01,3.28E+01,2.68E+01,2.66E+01,2.56E+01,1.92E+01,1.97E+01,1.82E+01,1.81E+01,2.43E+01,1.69E+01,1.62E+01,1.52E+01,1.50E+01,2.09E+01,1.93E+01,2.05E+01,1.91E+01,1.95E+01,1.57E+02,1.35E+02,1.33E+02,1.22E+02,9.96E+01,1.45E+02,8.41E+01,9.43E+01,9.06E+01,8.08E+01,1.33E+00,1.77E+00,1.78E+00,1.83E+00,1.82E+00,1.71E+00,1.24E+00,1.18E+00,1.19E+00,1.35E+00,5.49E+00,6.92E+00,6.76E+00,7.26E+00,8.07E+00,7.26E+00,7.92E+00,7.60E+00,7.62E+00,9.02E+00
c0027,3.06E+01,2.54E+01,2.33E+01,2.36E+01,2.14E+01,2.64E+01,2.12E+01,2.03E+01,2.01E+01,2.11E+01,2.11E+01,1.89E+01,1.94E+01,1.96E+01,1.63E+01,1.90E+01,1.95E+01,1.88E+01,1.93E+01,2.00E+01,1.04E+02,1.45E+02,1.51E+02,1.43E+02,9.13E+01,8.23E+01,7.63E+01,8.09E+01,7.91E+01,8.04E+01,2.01E+00,1.45E+00,1.52E+00,1.48E+00,1.74E+00,1.89E+00,1.41E+00,1.46E+00,1.38E+00,1.36E+00,1.11E+01,5.13E+00,5.13E+00,5.39E+00,8.03E+00,1.14E+01,8.93E+00,8.57E+00,8.52E+00,8.57E+00
c0028,2.08E+01,2.76E+01,2.30E+01,3.29E+01,2.60E+01,2.55E+01,1.67E+01,1.75E+01,1.73E+01,1.84E+01,1.79E+01,1.35E+01,1.50E+01,1.18E+01,1.56E+01,1.68E+01,1.65E+01,1.84E+01,1.71E+01,1.99E+01,8.55E+01,8.64E+01,7.77E+01,6.18E+01,5.72E+01,8.05E+01,5.62E+01,5.47E+01,4.85E+01,5.27E+01,2.14E+00,2.30E+00,2.26E+00,2.65E+00,1.82E+00,2.37E+00,1.48E+00,1.31E+00,1.57E+00,1.40E+00,1.12E+01,1.15E+01,1.14E+01,1.48E+01,1.53E+01,1.38E+01,1.13E+01,1.15E+01,1.28E+01,1.30E+01
c0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c0030,2.39E+01,2.10E+01,2.03E+01,2.57E+01,2.49E+01,2.55E+01,2.41E+01,1.80E+01,1.66E+01,2.40E+01,2.45E+01,1.97E+01,1.94E+01,1.95E+01,1.95E+01,2.31E+01,2.11E+01,2.08E+01,2.39E+01,1.99E+01,1.45E+02,8.31E+01,8.83E+01,8.45E+01,9.37E+01,1.11E+02,8.38E+01,8.11E+01,8.55E+01,8.16E+01,1.09E+00,6.69E-01,5.69E-01,6.65E-01,7.20E-01,9.51E-01,6.12E-01,5.48E-01,1.89E-01,6.49E-01,5.87E+00,5.11E+00,4.99E+00,5.62E+00,5.47E+00,5.33E+00,5.45E+00,5.47E+00,5.78E+00,5.57E+00
c0031,2.41E+01,1.37E+01,1.85E+01,1.97E+01,1.96E+01,2.76E+01,9.83E+00,1.36E+01,1.61E+01,1.77E+01,1.71E+01,1.50E+01,1.73E+01,1.67E+01,1.67E+01,1.51E+01,1.69E+01,1.38E+01,2.01E+01,1.79E+01,8.85E+01,6.05E+01,6.57E+01,6.59E+01,6.38E+01,6.92E+01,4.82E+01,3.64E+01,5.71E+01,4.82E+01,2.98E+00,2.10E+00,1.69E+00,1.76E+00,1.80E+00,3.09E+00,2.10E+00,2.28E+00,1.27E+00,1.70E+00,1.77E+01,1.38E+01,1.13E+01,1.14E+01,1.21E+01,1.91E+01,1.89E+01,1.85E+01,1.21E+01,1.48E+01
